Context,Entity,Description,Entity Type,TS
"LR and LC have no knowledge about affected NEs when LSA Spectrum Resource Availability information is exchanged from LR to LC (see [5]). Therefore the interaction at the NE level scenario requires input at the LC from MNO about the NEs that belongs to a LSR. This input is part of the mapping but also set to out-of-scope in ETSI RRS. Advantages with interaction at the NE level: No advantage is found. Disadvantages with interaction at the NE level: a) The operator's management systems are bypassed, which might mean that the management systems do not know which cells are using which frequency, if the cells are taken into operation, or if statistic measurements should be subscribed for them, etc. b) Currently the LR doesnât know how the PLMN (MFCN) is organized, i.e. LR has to send LSRAI to all registered LCs. Only when LR has received the confirmations from all registered LCs, the LR has appropriate information that LSRAI is performed successfully in the PLMN (MFCN). This introduces a",LR,"Location Request (LR) is a message exchanged between network elements for location-based services. It is used to request location information from other network entities, such as Location Servers (LC), and is part of the mapping process in ETSI RRS.",Message,3GPP TS 32.855
The UE shall include this IE during a combined attach procedure if it has a valid TMSI.,NRI,"In the context of TMSI-based NRI container, NRI is likely an acronym related to network or identifier management. However, without further information, its exact meaning remains unclear.",Parameter,3GPP TS 24.301
"- Conformance requirement 4: TS 25.331, clause 8.6.7.19.3.7. - Conformance requirement 5: TS 25.331, clause 8.6.7.19.3.8. - Conformance requirement 6: TS 25.331, clause 8.6.7.19.1b. 6.1.1.2.3 Test Purpose To verify when an emergency call is initiated by a UE in the ""MM idle, no IMSI"" state (no USIM inserted) and the network performs a location request using the measurement control procedure by sending Measurement Control message , then the UE respond with a Measurement Report containing UE location. 6.1.1.2.4 Method of Test Initial Conditions - System Simulator: - 1 cell, default parameters. - Satellite signals: As specified in 4.2 - User Equipment: - the UE is in MM-state ""MM idle, no IMSI"", no USIM inserted. Related PICS/PIXIT Statements - Emergency speech call yes/no - UE Based Network Assisted Test procedure The UE is made to initiate an emergency call. After the call has been through-connected in both directions, the SS orders an A- positioning measurement using two MEASUREMENT",SBGP,"The Special Burst Generation Gap (SBGP) is a parameter that specifies the period between special bursts in uplink transmissions when there are no transport blocks provided by higher layers for a given CCTrCH mapped to UL DPCH, DL DPCH, PUSCH or PDSCH physical channels. It determines how often special bursts are generated and transmitted during transmission pauses.",Parameter,TS 25.224
"The IMS Service Provisioning Architecture standardized by 3GPP/3GPP2, allows applications to access capabilities of the IMS. It provides two options for service provisioning, namely SIP-Application Server and OSA Gateway. IMS provides service-enabling functions and IP transport and is therefore relevant to the OMA Service Environment (OSE). Applications may use OMA enablers or may use IMS functions directly or both. In the OSE, OMA enabler implementations may make use of IMS capabilities, e.g. charging, authentication, service management, etc. IMS related applications/enablers can use OSE capabilities in addition to IMS capabilities. The only IMS interfaces an OMA enabler may use are the following: ISC interface: The ISC interface is between the enabler server implementation and the IMS core. The ISC interface provides the OMA service enabler with SIP/SDP call control, SIP event related subscription and notification, SIP messaging, etc. Sh interface: The Sh interface is between the",ISC,"The ISC (IMS Service Control) interface is a standardized interface in the IMS Service Provisioning Architecture that enables communication between the OMA enabler server implementation and the IMS core, providing SIP/SDP call control, SIP event related subscription and notification, SIP messaging, etc.",Interface,3GPP TS 32.808
"Bearers (SL-SRBs or SL-DRBs) towards the same peer L2 U2U Remote UE and/or different peer L2 U2U Remote UEs can be multiplexed to the same PC5 Relay RLC channel, which is between the L2 U2U Remote UE(s) and the L2 U2U Relay UE. - For the traffic received at L2 U2U Remote UE, the same PC5 Relay RLC channel from one L2 U2U Relay UE can be de-multiplexed to the different end-to-end PC5 Radio Bearers (SL-SRBs or SL-DRBs) of the same peer L2 U2U Remote UE and/or different peer L2 U2U Remote UEs. - The SRAP sublayer at L2 U2U Remote UE supports identification of the peer L2 U2U Remote UE and itself. The local IDs are assigned by L2 U2U Relay UE to both L2 U2U Remote UEs for identification. For the two local IDs, one of them identifies L2 U2U Remote UE and the other identifies the peer L2 U2U Remote UE. The local ID of the peer L2 U2U Remote UE and the local ID of L2 U2U Remote UE are delivered by L2 U2U Relay UE to the L2 U2U Remote UEs along with the corresponding L2 ID of the peer L2 U2U",U2U,"A communication link between two User Equipments (UEs) facilitated by a relay UE, enabling data transmission and multiplexing of bearers over a shared PC5 Relay RLC channel.",Connection,3GPP TS 38.300
"The following figure shows the relation between Iub interface and Iur interface. There are two cases for SRNC (CRNC1) to request radio link management activities in this figure. In case (1), SRNC (CRNC1) sets up/adds/deletes radio links in NodeB1 and NodeB1 is directly controlled by SRNC (CRNC1). In case (2/2bis), NodeB2 is directly controlled by DRNC (CRNC2). If SRNC (CRNC1) wants to set up/add/delete radio links in NodeB2, SRNC (CRNC1) will send request to DRNC (CRNC2), and DRNC (CRNC2) set up/add/delete radio links in NodeB2. In such case, if DRNC (CRNC2) fails to set up/add radio links in NodeB2 and receives failure message from NodeB2, DRNC (CRNC2) will send failure message back to SRNC (CRNC1). Furthermore if DRNC (CRNC2) has problem inside and fails to send request to NodeB2, it will send failure message back to the SRNC (CRNC1) directly. Figure: Relation between Iub interface and Iur interface Subclause 4.9 has separated measurements for both Iur interface and Iub interface.",DRNC,"The DRNC (Drift RNC) is a network function that controls NodeB2 and manages radio link setup, addition, and deletion in the context of the Iur interface. It interacts with SRNC (CRNC1) to facilitate these operations and reports failures back to SRNC if necessary.",Network Function,3GPP TS 32.403
"The following example shows a scenario for MBMS session ends followed by a termination of the MBMS service. Figure 50: MBMS Session stop and Service termination 1. In this scenario it is assumed that an MBMS Session is ongoing with UE in DRNC receiving MBMS service over PTM bearers. 2. End of MBMS data session; 3. CN invokes RANAP MBMS Session Stop message towards all RNC that are explicitly or implicitly registered with the CN. RAB resources and Iu signaling connection are released. Parameters: MBMS CN De-registration 4. RNCs send RANAP MBMS Session Stop Response messagess back to SGSN. 5. DRNC as CRNC also update and remove all relevant information related to the MBMS Service on the MCCH: RRC Modified Services Info message on MCCH. Parameters: TMGI, Release PTM RB; and all RB info on the PTM bearer for the service on RRC. Common PTM RB Info, Current Cell PTM RB Info, Neighbouring Cell PTM RB Info 6. UE releases the Radio Bearer for the MBMS service. 7. Iub bearer is released using",PTM,"Point-to-Multipoint (PTM) refers to a type of bearer in the context of Multimedia Broadcast Multicast Service (MBMS). It is used for transmitting data from a single source to multiple destinations, specifically in the downlink direction. In this scenario, PTM bearers are utilized for delivering MBMS services over the radio access network.",Connection,TS 25.931
"Service operation name: Npcf_AMPolicyControl_UpdateNotify Description: Provides to the NF Service Consumer, e.g. AMF, updated AM related Policy information for the AM Policy Association as defined in clause 6.5 of TS 23.503[ Policy and charging control framework for the 5G System (5GS); Stage 2 ]  [20]. NOTE: This notification corresponds to an implicit subscription. Inputs, Required: AM Policy Association ID. Inputs, Optional: Access and Mobility related information or indication of AM Policy Association termination. Outputs, Required: Success or failure. Outputs, Optional: None. See clause 4.16.2.2 for the usage of this service operation.",ID,"The Identifier (ID) refers to a unique code or label assigned to identify specific entities within the context of the 5G System, such as the AM Policy Association ID mentioned in the Npcf_AMPolicyControl_UpdateNotify service operation. This identifier is crucial for distinguishing between different policy associations and ensuring that updates are applied correctly.",Parameter,3GPP TS 23.502
"8.4.1.28a.1 Definition 8.4.1.28a.2 Conformance requirement When event 6F is ordered by UTRAN in a MEASUREMENT CONTROL message, the UE shall send a MEASUREMENT REPORT message when the absolute value of the difference between the measured TADV and the TADV stored in the variable TRIGGERED_6F_EVENT becomes larger than the threshold defined by the IE "" TADV Threshold "". Reference 3GPP TS 25.331, clauses 14.6.2.6a 8.4.1.28a.3 Test Purpose 1. To confirm that the UE performs UE internal measurements and reporting for event 6F, when requested by the UTRAN to do so in the MEASUREMENT CONTROL message. 8.4.1.28a.4 Method of test Initial Condition System Simulator: 1 cell UE: CS-DCCH+DTCH_DCH (State 6-9) or PS-DCCH+DTCH_DCH (State 6-10) in cell 1 as specified in clause 7.4 of TS 34.108, depending on the CN domain supported by the UE. Test Procedure The UE is in CELL_DCH state. SS transmits MEASUREMENT CONTROL message to request the UE to perform UE internal measurements and reporting for event 6F.",TADV,"Timing Advance (TADV) is a parameter used in the context of UE internal measurements for event 6F, specifically in relation to the threshold defined by the IE 'TADV Threshold'. It represents the measured timing advance value that triggers the UE to send a MEASUREMENT REPORT message when its absolute difference with the stored TADV becomes larger than the specified threshold.",Parameter,3GPP TS 34.123
"TLS shall be used to provide mutual authentication, integrity protection, replay protection and confidentiality protection for the interface between the management service producer and the management service consumer residing outside the 3GPP operatorâs trust domain. Security profiles for TLS implementation and usage shall follow the TLS profile given in clause 6.2 of TS 33.210[ Network Domain Security (NDS); IP network layer security ]  [3] and the certificate profile given in clause 6.1.3a of TS 33.310[ Network Domain Security (NDS); Authentication Framework (AF) ]  [5]. The identities in the end entity certificates shall be used for authentication and policy checks.",TLS,"Transport Layer Security (TLS) is a cryptographic protocol designed to provide secure communication between web browsers and servers over the internet. In the context of 3GPP, TLS is utilized to ensure mutual authentication, integrity protection, replay protection, and confidentiality protection for the interface between management service producers and consumers residing outside the operator's trust domain.",Protocol,3GPP TS 33.501
